INSERT INTO names (ID,name,type,gender) VALUES (0, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (1, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (2, Джеффри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (3, Паттерсона, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (4, Джеймса, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (5, Филлимора, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (6, Дэйли, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (7, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (8, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (9, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (10, Стэмфорд, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (11, Майк, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (12, Стэмфорд, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (13, Бартсе, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (14, Майк, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (15, Бартсе, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (16, Джона, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (17, Ватсона, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (18, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (19, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (20, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (21, Черный, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (22, Майк, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (23, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (24, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (25, Молли, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (26, Кофе, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (27, Майку, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (28, Прошу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (29, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (30, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (31, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (32, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (33, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (34, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (35, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (36, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (37, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (38, Флориде, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (39, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (40, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (41, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (42, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (43, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (44, Тернер, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (45, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (46, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (47, Брикстон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (48, Лористон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (49, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (50, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (51, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (52, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (53, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (54, Бартсе, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (55, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (56, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (57, Клара, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (58, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (59, Клара, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (60, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (61, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (62, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (63, Гарриет, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (64, Гарри, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (65, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (66, Салли, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (67, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (68, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (69, Салли, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (70, Донован, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (71, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (72, Донован, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (73, Салли, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (74, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (75, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (76, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (77, Сухой, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (78, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (79, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (80, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (81, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (82, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (83, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (84, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (85, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (86, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (87, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (88, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (89, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (90, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (91, Брикстоне, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (92, Донован, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (93, Иду, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (94, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (95, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (96, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (97, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (98, Антея, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (99, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (100, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (101, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (102, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (103, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (104, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (105, Шерлоком, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (106, Холмсом, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (107, Шерлоке, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (108, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (109, Слава, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (110, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (111, Шерлоком, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (112, Холмсом, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (113, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (114, Шерлоку, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (115, Холмсу, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (116, Шерлоком, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (117, Холмсом, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (118, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (119, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (120, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (121, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (122, Дженифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (123, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (124, Лористон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (125, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (126, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (127, Лористон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (128, Лористон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (129, Из, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (130, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (131, Донован, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (132, Слава, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (133, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (134, Им, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (135, Билли, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (136, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (137, Анжело, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (138, Анжело, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (139, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (140, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (141, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (142, Санта, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (143, Моника, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (144, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (145, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (146, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (147, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (148, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (149, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (150, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (151, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (152, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (153, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (154, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (155, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (156, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (157, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (158, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (159, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (160, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (161, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (162, Дженнифер, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (163, Уилсон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (164, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (165, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (166, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (167, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (168, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (169, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (170, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (171, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (172, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (173, Логин, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (174, Рейчел, имя, мж);
INSERT INTO names (ID,name,type,gender) VALUES (175, Андерсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (176, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (177, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (178, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (179, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (180, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (181, Идите, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (182, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (183, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (184, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (185, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (186, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (187, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (188, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (189, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (190, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (191, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (192, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (193, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (194, Роланда, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (195, Керра, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (196, Хадсон, фам, муж);
